Наименование предмета,Автор,Музей,Идентификатор музея,КОПУК музея,ИНН музея,Items,Дата создания предмета (строка),Место создания,Items,Место находки,Строковое описание размеров,Описание,Количество составляющих,Изображение,Регистрационный номер Госкаталога,Дата регистрации записи.,Инвентарный номер,Номер по ГИК,Внутренний идентификатор,Собственник,Тип предмета,Вес,Единица измерения веса,Ширина,Высота,Длина,Единица измерения размера,Идентификатор эпохи создания предмета,Эпоха создания предмета,Время эпохи,Название эпохи,Интервал времени создания предмета (начало),Интервал времени создания предмета (окончание),"Точность задания времени (день, месяц, год, век, эпоха).",URL предмета на сайте музея,Ключевые слова,Краткое описание истории бытования (провенанс) предмета,Идентификатор статуса предмета,Типология,Идентификатор типологии,Типология (строковое описание).,Причина исключения,Основание для регистрации предмета,Бюджет,Часть музейного фонда,Порядок управления,Предмет в музейной системе,Музейная система
"знак ""Гвардия""",,"Муниципальное автономное учреждение культуры ""Хоринский районный историко-краеведческий  музей""",1154,124970,0321005240,"[""металл, эмаль, штамповка""]",Вторая половина XX века,Россия,,,"Д - 4,5 Ш - 3,5","Знак Гвардия представляет собой овальный лавровый венок. В верхней части развивающееся знамя покрытое красной эмалью, внутри которого надпись ""Гвардия"". В Центре на белом фоне красная звезда, Внизу щиток с надписью ""СССР"". Знак изготавливался из бронзы с нанесением позолоты. Знак крепится при помощи винта и гайки.",1,"[{""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874204""}]",9910005,2017-12-13T03:50:42.416Z,Ин Н - 155,ХМКПОФ -941,10000149,,,,,,,,,,,,,,,YEAR,,знак,"Принадлежал участнику ВОВ Квашнину Артему Афанасьевичу. Знак Гвардия был учрежден в 1942 г., вручался в гвардейских частях, частях проявивших особый героизм в борьбе с врагом, в торжественной обстановке военнослужащим прошедшим боевое крещение. Знак пользовался большой популярностью и уважением у военных. Вручался знак как рядовому так и командному составу до 1991г. Знак крепится при помощи винта и гайки. В связи с тем что заказ на знаки Гвардии был очень большим, в изготовлении участвовало несколько предприятий: Штамповочный механический завод наркомата путей сообщения (ШМЗ НКПС); завод ""Победа""; Штамповочный эмальерный завод (Ш.Э. з-д), Московское товарищество художников (МТХ). Это вылилось в большое количество разновидностей знака. Знаки гвардия делятся на два варианта, условно ""военный"" и ""послевоенный"".",6,предметы нумизматики,5,,,,,,,,
Орден Отечественной войны II степени № 1832042,,"Муниципальное автономное учреждение культуры ""Хоринский районный историко-краеведческий музей""",1154,124970,0321005240,"[""Металл,  эмаль - штамповка.""]",Вторая половина XX века,Россия,,,"Д- 4,7 Диам - 3,3","Знак ордена Отечественной войны II  степени представляет собой изображение выпуклой пятиконечной звезды, покрытой рубиново-красной эмалью на фоне золотых лучей, расходящихся в виде пятиконечной полированной звезды, концы которой размещены между концами красной звезды. В середине красной звезды - золотое изображение серпа и молота на рубиново-красной круглой пластинке, окаймленной белым эмалевым пояском, с надписью “ОТЕЧЕСТВЕННАЯ ВОЙНА” и с золотой звездочкой в нижней части пояска. Красная звезда и белый поясок имеют золотые ободки. На фоне лучей золотой звезды изображены концы винтовки и шашки, скрещенных позади красной звезды. Приклад винтовки обращен вправо вниз, эфес шашки - влево вниз. Изображения винтовки и шашки оксидированы.      На оборотной стороне знак имеет нарезной штифт с гайкой для прикрепления ордена к одежде.",1,"[{""id"":6874197,""code"":""6874197"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874197""},{""id"":6874200,""code"":""6874200"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874200""}]",9910006,2017-12-13T03:50:42.416Z,Ин Н 154,ХМКПОФ -940,10000147,,,,,,,,,,,,,,,YEAR,,Орден,Принадлежал участнику ВОВ Квашнину Артему Афанасьевичу.,6,предметы нумизматики,5,,,,,,,,
"Медаль «Двадцать лет Победы в Великой Отечественной войне 1941—1945 гг.», Путина Поликарпа Васильевича","[""Художники В.А.Ермаков (аверс) и Ю.А.Лукьянов (реверс)""]","Муниципальное казённое учреждение культуры ""Соболевский районный историко-краеведческий музей""",1293,132002,4107001580,"[""Латунь, шелк-(лента), алюминий-(колодка)""]",Вторая половина XX века,,,,Диаметр -32 мм,"Медаль «Двадцать лет Победы в Великой Отечественной войне 1941—1945 гг.», Путина Поликарпа Васильевича, круглая, изготовлена из латуни золотистого цвета.  На лицевой стороне медали изображение памятника советскому воину-освободителю (установлен в берлинском Трептов-парке, скульптор Вучетич Е. В.) на двух скрещённых лавровых ветвях и надпись «1945-1965». На оборотной стороне медали надписи: по окружности «Двадцать лет Победы в Великой Отечественной войне 1941—1945 гг.», в середине медали римская цифра «ХХ» и звёздочка на фоне расходящихся лучей. Края медали окаймлены бортиком. Изображения и надписи на медали выпуклые. Медаль при помощи ушка и кольца соединяется с пятиугольной колодкой, обтянутой шёлковой муаровой лентой шириной 24 мм. На ленте три продольные чередующиеся полоски — красного, зелёного и чёрного цветов. Край ленты после чёрной полосы окантован узенькой зелёной полоской.",1,"[{""id"":6907920,""code"":""6907920"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6907920""},{""id"":6907923,""code"":""6907923"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6907923""}]",9911011,2017-12-13T05:23:45.795Z,,СРИКМ КП ОФ 0305,10000116,,,,,,,,,,,,,,,YEAR,,,"Путин Поликарп Васильевич родился 08 апреля 1913 года в селе Лушково Очерского района Молотовской (Пермской)области, в семье крестьянина – кустаря В 1930 году окончил семилетнюю школу. В 1932 окончил ФЗУ по специальности токарь и был откомандирован в Челябинск на строительство Тракторного завода В ноябре 1932 года добровольцем ушел в Красную Армию, в 1935 году демобилизовался, работал. В июле 1939 года был мобилизован в ряды Красной Армии и отправлен в Монгольскую Народную Республику в район реки Халхин – Гол, где в составе 293 СП 57 СД в должности помощника командира стрелкового взвода участвовал в боях против Японцев. В феврале 1940 года был откомандирован на курсы усовершенствования командного состава запаса связи, по окончании которых было присвоено звание младший лейтенант и был оставлен на курсах в должности командира курсового взвода. За отличную подготовку курсового взвода в декабре 1940 года Приказом Народного комиссара Обороны был награжден нагрудным знаком «Отличник РККА». В декабре 1940 года был переведен в город Кемерово. В мае 1941 года в составе части прибыл на Украину г. Конотоп где и застала война. В составе 579 зенитного артиллеристского полка РГК, в должности начальника связи полка был направлен под Сталинград, где принимал участие в боях с немцами. И так дальше в составе этого полка № Украинского фронта с боями, через Румынию, Болгарию и Югославию дошел до Венгрии. По демобилизации 11 ноября 1945 году прибыл в город Измаил. В 1955 году завербовался на Камчатку в рыбную промышленность, вначале работал на рыбокомбинате им С.М. Кирова.  С января 1956 года работал в Соболевском финотделе на должности старшего инспектора бюджета.    После демобилизации работал в органах внутренних дел города Калуга. В 1957 году с семьей перхал на Камчатку, здесь и остался. Работал в совхозе «Соболевский», в Соболевской районной больнице.   За добросовестный и многолетний труд награжден медалью «Ветеран труда», медалью «За доблестный труд в ознаменование 100-летия со дня рождения Владимира Ильича Ленина».  Умер.",6,прочие,12,,,,,,,,
"Фотография ""Группа советских офицеров 1376 стрелкового полка  на крыше немецкого сверхтяжёлого танка Panzerkapfwagen Vll ""Maus""  (Баранец В.И. сидит на корточках)""",,"Муниципальное бюджетное учреждение ""Краеведческий музей имени Н.И. Береговой городского округа Спасск-Дальний""",1504,111811,2510010987,,август 1945 года,,,,"8,3 см х 12,2 см",,1,"[{""id"":6874483,""code"":""6874483"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874483""}]",9931273,2017-12-14T04:09:17.000Z,СКМ 1571/29,СКМ КП 5135,10000337,,,,,,,,,,,,,,,YEAR,,,Фотография находилась в домашнем архиве семьи Баранец Валентины Антоновны,6,фотографии и негативы,17,,,,,,,,
"Фотография ""Группа советских офицеров 1376 стрелкового полка 416 стрелковой дивизии  возле немецкого сверхтяжёлого танка Panzerkampfwagen Vll ""Maus"", г. Цоссен, август 1945 года (Баранец В.И. справа)""",,"Муниципальное бюджетное учреждение ""Краеведческий музей имени Н.И. Береговой городского округа Спасск-Дальний""",1504,111811,2510010987,,август 1945 года,,,,"8,4 см х 11,3 см",,1,"[{""id"":6874309,""code"":""6874309"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874309""}]",9931274,2017-12-14T04:09:17.000Z,СКМ 1571/28,СКМ КП 5134,10000315,,,,,,,,,,,,,,,YEAR,,,Фотография находилась в домашнем архиве семьи Баранец Валентины Антоновны,6,фотографии и негативы,17,,,,,,,,
"Фотография ""Первый батальон 1376 стрелкового полка (г. Цоссен, второй в первом ряду - Баранец В.И.)""",,"Муниципальное бюджетное учреждение ""Краеведческий музей имени Н.И. Береговой городского округа Спасск-Дальний""",1504,111811,2510010987,,июнь 1945 года,,,,"17,2 см х 23,5 см",,1,"[{""id"":6874265,""code"":""6874265"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874265""}]",9931275,2017-12-14T04:09:17.000Z,СКМ 1571/27,СКМ КП 5133,10000198,,,,,,,,,,,,,,,YEAR,,,Фотография находилась в домашнем архиве семьи Баранец Валентины Антоновны,6,фотографии и негативы,17,,,,,,,,
"Фотография ""Рота автоматчиков 1376 стрелкового полка в городе Берлине""",,"Муниципальное бюджетное учреждение ""Краеведческий музей имени Н.И. Береговой городского округа Спасск-Дальний""",1504,111811,2510010987,,май 1945 года,,,,"16,8 см х 23,7 см",,1,"[{""id"":6874246,""code"":""6874246"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874246""}]",9931276,2017-12-14T04:09:17.000Z,СКМ 1571/26,СКМ КП 5132,10000171,,,,,,,,,,,,,,,YEAR,,,Фотография находилась в домашнем архиве семьи Баранец Валентины Антоновны,6,фотографии и негативы,17,,,,,,,,
"Фотография военного времени, Баранец Владимир Иванович справа",,"Муниципальное бюджетное учреждение ""Краеведческий музей имени Н.И. Береговой городского округа Спасск-Дальний""",1504,111811,2510010987,,Начало 1940-х годов,,,,"11,9 см х 18,3 см",,1,"[{""id"":6874217,""code"":""6874217"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874217""}]",9931277,2017-12-14T04:09:17.049Z,СКМ 1571/25,СКМ КП 5131,10000155,,,,,,,,,,,,,,,YEAR,,,Фотография находилась в домашнем архиве семьи Баранец Валентины Антоновны,6,фотографии и негативы,17,,,,,,,,
"Фотография Станицкой (Баранец) Валентины Антоновны, операционной сестры",,"Муниципальное бюджетное учреждение ""Краеведческий музей имени Н.И. Береговой городского округа Спасск-Дальний""",1504,111811,2510010987,,1940-е годы,,,,"15,5 см х 21 см",,1,"[{""id"":6874205,""code"":""6874205"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874205""}]",9931278,2017-12-14T04:09:17.049Z,СКМ 1571/24,СКМ КП 5130,10000154,,,,,,,,,,,,,,,YEAR,,,Фотография находилась в домашнем архиве семьи Баранец Валентины Антоновны,6,фотографии и негативы,17,,,,,,,,
Фотография учителя истории школы № 1 Баранец Владимира Ивановича,,"Муниципальное бюджетное учреждение ""Краеведческий музей имени Н.И. Береговой городского округа Спасск-Дальний""",1504,111811,2510010987,,1980-е годы,,,,"11,5 см х 8,8 см",,1,"[{""id"":6874196,""code"":""6874196"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874196""}]",9931279,2017-12-14T04:09:17.049Z,СКМ 1571/21,СКМ КП 5129,10000148,,,,,,,,,,,,,,,YEAR,,,Фотография находилась в домашнем архиве семьи Баранец Валентины Антоновны,6,фотографии и негативы,17,,,,,,,,
Фотография директора школы № 1 - Кудрявцева Ильи Григорьевича,,"Муниципальное бюджетное учреждение ""Краеведческий музей имени Н.И. Береговой городского округа Спасск-Дальний""",1504,111811,2510010987,,1970-е годы,,,,"8,6 см х 5,5 см; 7,6 см х 4,7 см",,1,"[{""id"":6874190,""code"":""6874190"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874190""}]",9931280,2017-12-14T04:09:17.049Z,СКМ 1571/20,СКМ КП 5128,10000143,,,,,,,,,,,,,,,YEAR,,,Фотография находилась в домашнем архиве семьи Баранец Валентины Антоновны,6,фотографии и негативы,17,,,,,,,,
"Фотография ""Старое деревянное здание детского дома""",,"Муниципальное бюджетное учреждение ""Краеведческий музей имени Н.И. Береговой городского округа Спасск-Дальний""",1504,111811,2510010987,,1950 -е годы,,,,"5,6 см х 8,4 см",,1,"[{""id"":6874188,""code"":""6874188"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874188""}]",9931281,2017-12-14T04:09:17.049Z,СКМ 1571/19,СКМ КП 5127,10000141,,,,,,,,,,,,,,,YEAR,,,Фотография находилась в домашнем архиве семьи Баранец Валентины Антоновны,6,фотографии и негативы,17,,,,,,,,
Фотография Омельченко Анны Аксентьевны в школьной форме,,"Муниципальное бюджетное учреждение ""Краеведческий музей имени Н.И. Береговой городского округа Спасск-Дальний""",1504,111811,2510010987,,18 января 1918 года,,,,"11,8 см х 8,8 см",,1,"[{""id"":6874173,""code"":""6874173"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874173""}]",9931282,2017-12-14T04:09:17.049Z,СКМ 1571/16,СКМ КП 5125,10000125,,,,,,,,,,,,,,,YEAR,,,Фотография находилась в домашнем архиве семьи Баранец Валентины Антоновны,6,фотографии и негативы,17,,,,,,,,
Карточка ударника-просвещенца  Омельченко О.А.,,"Муниципальное бюджетное учреждение ""Краеведческий музей имени Н.И. Береговой городского округа Спасск-Дальний""",1504,111811,2510010987,,1934 год,,,,"8 см х 10,7 см",,1,"[{""id"":6874157,""code"":""6874157"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874157""}]",9931283,2017-12-14T04:09:17.049Z,СКМ 1571/14,СКМ КП 5124,10000124,,,,,,,,,,,,,,,YEAR,,,Фотография находилась в домашнем архиве семьи Баранец Валентины Антоновны,6,документы,15,,,,,,,,
"Фотокопия ""Участники драмкружка железнодорожного клуба станции Евгеньевка""",,"Муниципальное бюджетное учреждение ""Краеведческий музей имени Н.И. Береговой городского округа Спасск-Дальний""",1504,111811,2510010987,,1927 год,,,,"16,6 см х 22,8 см; 18, см х 24 см",,1,"[{""id"":6874148,""code"":""6874148"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874148""}]",9931284,2017-12-14T04:09:17.049Z,СКМ 1571/13,СКМ КП 5123,10000108,,,,,,,,,,,,,,,YEAR,,,Фотография находилась в домашнем архиве семьи Баранец Валентины Антоновны,6,фотографии и негативы,17,,,,,,,,
"Фотография черно-белая. Борисенко Л.И. с хозяином дома и сослуживцами. Из фотоальбома Л.И. Борисенко № 32 ""Сейчас же после войны"".",,"Краевое государственное бюджетное учреждение ""Алтайский государственный краеведческий музей""",1215,111006,2225032647,"[""Фотобумага, фотопечать""]",1945 г.,Чехословакия,,,"6х10,7 см","Фотография черно-белая, групповая портретная. На снимке: военнослужащие и человек в гражданском сидят на угловой скамейке на фоне стены кирпичного здания. В центре - полковник Борисенко Л.И. и хозяин дома пан Фикар.",1,"[{""id"":6874389,""code"":""6874389"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874389""}]",9967776,2017-12-15T09:21:54.577Z,Ф-10352,АГКМ ОФ 18547/7,10000329,,,,,,,,,,,,,,,YEAR,,,,6,фотографии и негативы,17,,,,,,,,
"Фотография черно-белая. У дома в Кветинове. Сослуживцы Борисенко Л.И. и хозяин дома Пан Фикар. Из фотоальбома Л.И. Борисенко № 32 ""Сейчас же после войны"".","[""Борисенко Леонид Ильич""]","Краевое государственное бюджетное учреждение ""Алтайский государственный краеведческий музей""",1215,111006,2225032647,"[""Фотобумага, фотопечать""]",1945 г.,Чехословакия,,,"7,5х11 см;","Фотография черно-белая, видовая. На снимке: кирпичный дом, на фоне которого стоят, сидят военнослужащие и мужчина в гражданском. На переднем плане слева - ординарец Борисенко Леонида Ильича, справа - хозяин дома. На заднем плане - сослуживцы Борисенко Л.И.",1,"[{""id"":6874362,""code"":""6874362"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874362""}]",9967777,2017-12-15T09:21:54.577Z,Ф-10351,АГКМ ОФ 18547/6,10000260,,,,,,,,,,,,,,,YEAR,,,,6,фотографии и негативы,17,,,,,,,,
"Фотография черно-белая. Пан Фикар - хозяин дома, в котором жил Борисенко Л.И. в Кветинове. Из фотоальбома Л.И. Борисенко № 32 ""Сейчас же после войны"".","[""Борисенко Леонид Ильич""]","Краевое государственное бюджетное учреждение ""Алтайский государственный краеведческий музей""",1215,111006,2225032647,"[""Фотобумага, фотопечать""]",1945 г.,Чехословакия,,,"6х4,5 см","Фотография черно-белая, видовая. На снимке: на переднем плане стоит мужчина во дворе дома, устремив взгляд на цветущие кусты. Он - в белой рубашке с черной ""бабочкой"", черных брюках и жилете. Его правая рука - на поясе, в левой руке он держит карманные часы, цепочка от которых закреплена на правой верхней половине жилета. Вдали виден фрагмент кирпичного дома, деревья.",1,"[{""id"":6874295,""code"":""6874295"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874295""}]",9967778,2017-12-15T09:21:54.577Z,Ф-10350,АГКМ ОФ 18547/5,10000228,,,,,,,,,,,,,,,YEAR,,,,6,фотографии и негативы,17,,,,,,,,
"Пирожковая тарелка, чайный сервиз «Цветок», ф. «Ладья»","[""автор – Кузнецов В.Г., художник – Дворецкая О.Н.""]","Муниципальное казённое учреждение ""Историко-краеведческий музей"" Артёмовского городского округа",1509,112530,2502022266,"[""фарфор, ручное литьё, ручная роспись, кобальт, отводка золотом  ""]",1990-е годы,г. Артём,,г. Артём,диаметр – 18 см,"Тарелка круглая полусферической формы с углублением. На кобальтовой поверхности с двух краёв изображение цветка с розовыми, белыми, голубыми лепестками с позолотой листьев и веточек. Отводка золотом по окаймлению тарелки.",1,"[{""id"":6874269,""code"":""6874269"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874269""},{""id"":6874270,""code"":""6874270"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874270""}]",10170622,2017-12-28T04:41:21.006Z,ПИ-695,ИКМА 11523,10000178,,,,,,,,,,,,,,,YEAR,,фарфор,"Сервиз был передан Историко-краеведческому музею г. Артёма Приморского края на основании распоряжения Администрации Артёмовского городского округа № 491-ра от 11.12.2006 г. вместе с полной коллекцией музея Артёмовского опытно-экспериментального фарфорового завода. Предприятие прекратило свою деятельность в 2003 году. Сохранившийся музей фарфорового завода, на тот момент  - общества с ограниченной ответственностью «Артёмовский фарфоровый завод», был передан на баланс Администрации Артёмовского городского округа. Внесены в реестр муниципальной собственности и переданы в оперативное управление муниципальному учреждению «Историко-краеведческий музей г. Артёма». На основании акта № 120 от 25.12.2006 г. экспонаты были приняты на постоянное хранение.",6,"предметы прикладного искусства, быта и этнографии",13,,,,,,,,
"Блюдце, чайный сервиз «Цветок», ф. «Ладья»","[""автор – Кузнецов В.Г., художник – Дворецкая О.Н.""]","Муниципальное казённое учреждение ""Историко-краеведческий музей"" Артёмовского городского округа",1509,112530,2502022266,"[""фарфор, ручное литьё, ручная роспись, кобальт, отводка золотом  ""]",1990-е годы,г. Артём,,г. Артём,"диаметр – 13,5 см","Блюдце круглое, края ровные. На кобальтовой поверхности с двух краёв изображение цветка с розовыми, белыми, голубыми лепестками с позолотой листьев и веточек. Отводка золотом по окаймлению блюдца.",1,"[{""id"":6874258,""code"":""6874258"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874258""},{""id"":6874259,""code"":""6874259"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874259""}]",10170623,2017-12-28T04:41:21.006Z,ПИ-694,ИКМА 11522,10000174,,,,,,,,,,,,,,,YEAR,,фарфор,"Сервиз был передан Историко-краеведческому музею г. Артёма Приморского края на основании распоряжения Администрации Артёмовского городского округа № 491-ра от 11.12.2006 г. вместе с полной коллекцией музея Артёмовского опытно-экспериментального фарфорового завода. Предприятие прекратило свою деятельность в 2003 году. Сохранившийся музей фарфорового завода, на тот момент  - общества с ограниченной ответственностью «Артёмовский фарфоровый завод», был передан на баланс Администрации Артёмовского городского округа. Внесены в реестр муниципальной собственности и переданы в оперативное управление муниципальному учреждению «Историко-краеведческий музей г. Артёма». На основании акта № 120 от 25.12.2006 г. экспонаты были приняты на постоянное хранение.",6,"предметы прикладного искусства, быта и этнографии",13,,,,,,,,
"Чашка, чайный сервиз «Цветок», ф. «Ладья»","[""автор – Кузнецов В.Г., художник – Дворецкая О.Н.""]","Муниципальное казённое учреждение ""Историко-краеведческий музей"" Артёмовского городского округа",1509,112530,2502022266,"[""фарфор, ручное литьё, ручная роспись, кобальт, отводка золотом  ""]",1990-е годы,г. Артём,,г. Артём,"высота -  5,5 см, длина – 9 см","Тулово полусферической формы, донная часть цилиндрической формы. Ручка С-образной овальной формы с завитком. На кобальтовой поверхности изображение цветка с розовыми, белыми, голубыми лепестками с позолотой листьев и веточек. Отводка золотом на сгибе ручки, полосой по внутренней верхней части чашки.",1,"[{""id"":6874251,""code"":""6874251"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874251""},{""id"":6874252,""code"":""6874252"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874252""}]",10170624,2017-12-28T04:41:21.006Z,ПИ-693,ИКМА 11521,10000170,,,,,,,,,,,,,,,YEAR,,фарфор,"Сервиз был передан Историко-краеведческому музею г. Артёма Приморского края на основании распоряжения Администрации Артёмовского городского округа № 491-ра от 11.12.2006 г. вместе с полной коллекцией музея Артёмовского опытно-экспериментального фарфорового завода. Предприятие прекратило свою деятельность в 2003 году. Сохранившийся музей фарфорового завода, на тот момент  - общества с ограниченной ответственностью «Артёмовский фарфоровый завод», был передан на баланс Администрации Артёмовского городского округа. Внесены в реестр муниципальной собственности и переданы в оперативное управление муниципальному учреждению «Историко-краеведческий музей г. Артёма». На основании акта № 120 от 25.12.2006 г. экспонаты были приняты на постоянное хранение.",6,"предметы прикладного искусства, быта и этнографии",13,,,,,,,,
